Req ID,Type,Requirement,Spec reference,Implementation (file:function),Verification (TC IDs),Evidence path(s),Status,Notes
RQ-01,Design,Two part system,,,,,Not Started,
RQ-02,Functional,Bluetooth Setup Module,,,,,Not started,
RQ-03,Design,Bluetooth Car Module Mode 1: Demo  ,,,,,Not started,
RQ-4,Design,Bluetooth Car Module Mode 2: Free Drive ,,,,,Not started,
RQ-5,Design,UART1 used to communicate with HC-05 Bluetooth module   ,,,,,Not started,
RQ-6,Design,UART0 used to communicate with PC terminal and MCU  ,,,,,Not started,
RQ-7,Design,Set HC-05 to Command Mode  ,,,,,Not started,
RQ-8,Functional,On start up displays the Initial Set up message in PC terminal,,,,,Not started,
RQ-9,Functional,"After boot up, loop and wait for user to enter a command in terminal  ",,,,,Not started,
RQ-10,Functional,Sends entered user command to set up HC-05 ,,,,,Not started,
RQ-11,Functional,"Returns the HC-05 response to the PC terminal and display on PC 
terminal: user input command and response",,,,,Not started,
RQ-12,Design,Set up HC-05 Name,,,,,Not started,
RQ-13,Design,Set up HC-05 Pass,,,,,Not started,
RQ-14,Functional,Set up HC-05 UART,,,,,Not started,
RQ-15,Functional,Set up HC-05 Role,,,,,Not started,
RQ-16,Design,HC-05 will be set up in Data Mode  ,,,,,Not started,
RQ-17,Design,UART1 used to communicate with HC-05 Bluetooth module   ,,,,,Not started,
RQ-18,Design,Communicate to Car with a smartphone/PC via Bluetooth,,,,,Not started,
RQ-19,Functional,Initally boots in Mode 1  ,,,,,Not started,
RQ-20,Functional,SW1 to toggle between modes 1 and 2  ,,,,,Not started,
RQ-21,Functional,Use Hardware PWM0 to drive motors on Romi Chassis  ,,,,,Not started,
RQ-22,Functional,Upon entering Mode 1 LED = Green  ,,,,,Not started,
RQ-23,Functional,Mode 1: Send command from Bluetooth Terminal to MCU to drive car in designated routes:  ,,,,,Not started,
RQ-24,Functional,Mode 1: '8' - Draws one figure 8 and stops,,,,,Not started,
RQ-25,Functional,Mode 1: 'C' - Draw one circle and stops,,,,,Not started,
RQ-26,Functional,Mode 1: 'S' - Draw one square and stops,,,,,Not started,
RQ-27,Functional,Mode 1: 'Z' - Draw a zigzag with 4 segments and stop,,,,,Not started,
RQ-28,Functional,Upon entering Mode 2 LED = Blue ,,,,,Not started,
RQ-29,Functional,Mode 2: Send a command from Bluetooth Terminal to MCU to drive car:,,,,,Not started,
RQ-30,Functional,Mode 2: 'F' - Moves car forward,,,,,Not started,
RQ-31,Functional,Mode 2: 'B' - Moves car backward,,,,,Not started,
RQ-32,Functional,Mode 2: 'L' - Moves car in left wide turn,,,,,Not started,
RQ-33,Functional,Mode 2: 'R' - Moves car in right wide turn,,,,,Not started,
RQ-34,Functional,Mode 2: 'S' - Stops car ,,,,,Not started,
RQ-35,Functional,Mode 2: 'U' - Speeds car up,,,,,Not started,
RQ-36,Functional,Mode 2: 'D' - Slows car down,,,,,Not started,
CN-01,Constraint,Default Baud Rate for Command Mode: 38400,,,,,Not started,
CN-2,Constraint,Default Baud Rate for Data Communication Mode: 9600,,,,,Not started,
CN-3,Constraint,UART1 must be used to communicate with HC-05,,,,,Not started,
CN-4,Constraint,"In setup module, HC-05 must be in Command mode",,,,,Not started,
CN-5,Constraint,"In setup module, PC Terminal must be used to send AT coommands to HC-05",,,,,Not started,
CN-6,Constraint,"In setup module, UART0 must be used to communicate with MCU to PC",,,,,Not started,
CN-7,Constraint,"In setup module, invalid commands receive error response",,,,,Not started,
CN-8,Constraint,"In setup module, Dont set HC-05 name to CECS447",,,,,Not started,
CN-9,Constraint,"In setup module, Dont set HC-05 pass to 1234",,,,,Not started,
CN-10,Constraint,"In car module, HC-05 must be in Data mode",,,,,Not started,
CN-11,Constraint,"In car module, Must use Hardware PWM",,,,,Not started,
CN-12,Constraint,"In car module, Communicate to Car with a smartphone/PC via Bluetooth",,,,,Not started,
CN-13,Constraint,"In car module, invalid inputs are not accepted",,,,,Not started,